страна ,индекс ,область ,район ,город ,район города ,улица ,номер дома ,год постройки ,общая площадь ,кол-во подъездов ,этажность ,кол-во квартир 
Россия,632865,Новосибирская область,Карасукский,Карасук,,Ленина,145,1963,1256.6,2,4,32
Россия,632865,Новосибирская область,Карасукский,Карасук,,Ленина,147,1963,1251.0,2,4,32
Россия,632865,Новосибирская область,Карасукский,Карасук,,Ленина,149,1963,1280.8,2,4,28
Россия,632865,Новосибирская область,Карасукский,Карасук,,Ленина,151,1964,1262.8,2,4,32
Россия,632865,Новосибирская область,Карасукский,Карасук,,Ленина,153,1964,2012.9,3,4,48
Россия,632865,Новосибирская область,Карасукский,Карасук,,Ленина,155,1965,2545.2,4,4,64
Россия,632865,Новосибирская область,Карасукский,Карасук,,Ленина,155а,1965,2510.2,4,4,64
Россия,632865,Новосибирская область,Карасукский,Карасук,,Тургенева,18,1982,2639.7,4,5,60
Россия,632865,Новосибирская область,Карасукский,Карасук,,Тургенева,20,1979,2658.7,4,5,60
Россия,632865,Новосибирская область,Карасукский,Карасук,,Тургенева,78,1965,815.4,2,2,12
Россия,632865,Новосибирская область,Карасукский,Карасук,,Тургенева,82а,1965,1964.9,3,4,48
Россия,632865,Новосибирская область,Карасукский,Карасук,,Тургенева,84,1968,3368.2,4,5,70
Россия,632865,Новосибирская область,Карасукский,Карасук,,Тургенева,86,1968,3194.7,4,5,64
Россия,632865,Новосибирская область,Карасукский,Карасук,,Тургенева,88,1969,3299.2,4,5,66
Россия,632865,Новосибирская область,Карасукский,Карасук,,Союзная,33/2,,2457.1,1,5,70
Россия,632864,Новосибирская область,Карасукский,Карасук,,Молодежная,1,1978,261.3,4,2,4
Россия,632864,Новосибирская область,Карасукский,Карасук,,Молодежная,2а,1982,967.6,3,2,18
Россия,632864,Новосибирская область,Карасукский,Карасук,,Молодежная,3,1980,272.3,4,2,4
Россия,632864,Новосибирская область,Карасукский,Карасук,,Молодежная,5,19830,957.1,3,2,18
Россия,632864,Новосибирская область,Карасукский,Карасук,,Молодежная,6,1997,861.1,3,2,18
Россия,632864,Новосибирская область,Карасукский,Карасук,,Молодежная,7,1994,948.9,3,2,18
Россия,632864,Новосибирская область,Карасукский,Карасук,,Молодежная,10,1986,686.9,2,2,12
Россия,632864,Новосибирская область,Карасукский,Карасук,,Молодежная,11,1997,1001.6,3,2,18
Россия,632867,Новосибирская область,Карасукский,Карасук,,Щорса,144,1980,730.5,2,2,16
Россия,632867,Новосибирская область,Карасукский,Карасук,,Щорса,152,1982,847.8,3,2,18
Россия,632867,Новосибирская область,Карасукский,Карасук,,Щорса,156,1987,935,3,2,19
Россия,632867,Новосибирская область,Карасукский,Карасук,,Щорса,158,,962,3,2,16
Россия,632867,Новосибирская область,Карасукский,Карасук,,Щорса,160,1985,439.4,1,2,14
Россия,632867,Новосибирская область,Карасукский,Карасук,,Щорса,164,1987,477.5,1,2,14
Россия,632868,Новосибирская область,Карасукский,Карасук,,Демьяна-Бедного,56,1988,1271.5,3,3,27
Россия,632868,Новосибирская область,Карасукский,Карасук,,Демьяна-Бедного,58,1988,255.8,1,2,4
Россия,632868,Новосибирская область,Карасукский,Карасук,,Демьяна-Бедного,80,1973,694.9,2,2,16
Россия,632868,Новосибирская область,Карасукский,Карасук,,Демьяна-Бедного,82,1977,714.7,2,2,16
Россия,632862,Новосибирская область,Карасукский,Карасук,,Коммунистическая,11,1979,684.3,2,2,12
Россия,632862,Новосибирская область,Карасукский,Карасук,,Коммунистическая,55,1976,730.2,2,2,16
Россия,632862,Новосибирская область,Карасукский,Карасук,,Пионерская,11а,1982,686.2,2,2,12
Россия,632862,Новосибирская область,Карасукский,Карасук,,Пионерская,11,,645.0,2,2,12
Россия,632862,Новосибирская область,Карасукский,Карасук,,Целинная,34,1974,760.8,2,2,16
Россия,632868,Новосибирская область,Карасукский,Карасук,,Суворова,1а,1970,730.0,2,2,16
Россия,632868,Новосибирская область,Карасукский,Карасук,,Октябрьская,73,,956.3,2,3,24
Россия,632868,Новосибирская область,Карасукский,Карасук,,Октябрьская,89,1972,725,2,3,13
Россия,632868,Новосибирская область,Карасукский,Карасук,,Луначарского,29,1968,703.1,2,2,16
Россия,632862,Новосибирская область,Карасукский,Карасук,,Кутузова,9а,1965,588.4,4,2,14
Россия,632862,Новосибирская область,Карасукский,Карасук,,Кутузова,21,1975,723,2,2,16
Россия,632868,Новосибирская область,Карасукский,Карасук,,Шукшина,8,1984,449,1,2,9
Россия,632865,Новосибирская область,Карасукский,Карасук,,Совхозная,6,,629.4,2,2,16
Россия,632867,Новосибирская область,Карасукский,Карасук,,Сергея Есенина,2а,,580.7,4,2,16
